year,model_id,kilometers,engine_id,price,description_id
2018,1,60323,1,9850,1
2017,2,53000,2,9000,2
2013,3,209470,3,7900,3
2016,4,116672,4,6975,4
2017,5,66000,5,13500,5
2016,6,95500,6,10800,6
1992,7,150000,7,5000,7
2011,8,133000,8,5800,8
2020,9,83903,9,7350,9
2019,10,45000,10,15000,10
2007,11,148000,11,8500,11
2000,12,262634,12,3300,12
2015,13,105000,13,12300,13
2007,14,200000,14,3600,14
2013,15,88000,15,6500,15
2016,16,73,16,10800,16
2011,17,139457,17,8800,17
2017,18,88267,18,7075,18
2019,19,46992,19,10500,19
2021,20,127580,20,3600,20
2016,21,82500,21,9500,21
2010,22,155742,22,4800,22
2018,23,41200,23,11500,23
2012,24,112000,24,5500,24
2006,25,192,25,4500,25
2018,26,51000,26,9300,26
2016,27,111689,27,8500,27
2017,28,113,28,11600,28
2018,29,38000,29,11900,29
2016,30,75005,30,7500,30
2014,31,62,31,10500,31
2008,32,149800,32,5500,32
2013,33,14000,33,6500,33
2010,34,2345,34,7800,34
2017,35,46000,35,10000,35
2014,36,89700,36,6300,36
2014,37,173809,37,6500,37
2016,38,81570,38,9300,38
2017,39,75000,39,7800,39
2019,40,39000,40,8150,40
2017,41,76000,41,8300,41
2007,42,75300,42,8500,42
2013,43,0,43,6950,43
2005,44,141000,44,2900,44
2017,45,67000,45,11900,45
2018,46,60000,46,8500,46
2020,47,56000,47,10500,47
2008,48,132856,48,4800,48
1967,49,120000,49,5500,49
2009,50,195504,50,17000,50
2018,51,66,51,11000,51
2020,52,28235,52,8200,52
2016,53,97911,53,7500,53
2014,54,131400,54,7450,54
2015,55,60000,55,8500,55
2013,56,140000,56,6200,56
2015,57,118000,57,8500,57
2019,58,28000,58,8800,58
2014,59,73233,59,7300,59
2009,60,250000,60,5900,60
2016,61,64000,61,8200,61
2008,62,141,62,3500,62
2014,63,106000,63,8300,63
2014,64,7600,64,7600,64
2020,65,83903,65,7350,65
2011,66,92585,66,6500,66
2007,67,143600,67,7000,67
2009,68,100000,68,4200,68
2016,69,183465,69,9900,69
2014,70,131000,70,7850,70
2011,71,120000,71,9500,71
2010,72,75362,72,4900,72
1988,73,195000,73,4000,73
1992,74,150000,74,5000,74
2011,75,133000,75,5800,75
2019,76,45000,76,15000,76
2007,77,148000,77,8500,77
2000,78,262634,78,3300,78
2007,79,200000,79,3600,79
2013,80,88000,80,6500,80
2016,81,73,81,10800,81
2019,82,46992,82,10500,82
2013,83,14000,83,6200,83
2017,84,78000,84,7600,84
2019,85,39000,85,8150,85
2017,86,76000,86,8100,86
2005,87,141000,87,2900,87
2013,88,91260,88,6500,88
2017,89,78000,89,7400,89
2016,90,34000,90,6900,90
2015,91,97783,91,6975,91
2017,92,87000,92,8500,92
2008,93,125000,93,7600,93
2015,94,60000,94,9400,94
2004,95,190000,95,6600,95
2002,96,256000,96,4350,96
2018,97,57000,97,8700,97
1998,98,1111,98,2500,98
2010,99,168000,99,7700,99
2014,100,58300,100,11500,100
2017,101,43000,101,14300,101
2008,102,271000,102,6900,102
2019,103,76700,103,8500,103
2014,104,116260,104,9500,104
2017,105,120000,105,8600,105
2016,106,1,106,8500,106
1996,107,200000,107,2000,107
2015,108,64000,108,7200,108
2008,109,141,109,3300,109
2013,110,88000,110,6400,110
2016,111,82500,111,9500,111
2018,112,41200,112,11000,112
2009,113,49000,113,8200,113
2014,114,66000,114,7500,114
2018,115,60000,115,8800,115
2012,116,78800,116,11750,116
2015,117,97783,117,6975,117
2008,118,141,118,3500,118
2013,119,120000,119,6250,119
2013,120,63000,120,6500,120
2016,121,75005,121,7500,121
2015,122,17000,122,7800,122
2020,123,20000,123,9500,123
2010,124,75362,124,5600,124
2021,125,127580,125,3200,125
2018,126,41200,126,11500,126
2010,127,155742,127,4800,127
2017,128,113,128,11600,128
2018,129,51000,129,9300,129
2006,130,192,130,4500,130
2016,131,111689,131,8500,131
2012,132,112000,132,5500,132
2017,133,0,133,8300,133
2013,134,76000,134,6950,134
2013,135,140000,135,6200,135
2013,136,104000,136,6800,136
2013,137,14000,137,6200,137
2017,138,76000,138,8300,138
2016,139,34000,139,8500,139
2017,140,78000,140,7200,140
2018,141,39000,141,11500,141
2017,142,68000,142,8700,142
2010,143,157255,143,5800,143
2013,144,140000,144,6000,144
2003,145,0,145,3500,145
2007,146,108000,146,6300,146
2015,147,89300,147,7600,147
2003,148,150000,148,3000,148
2013,149,110065,149,6500,149
2021,150,3000,150,12000,150
2014,151,98000,151,7400,151
2017,152,109435,152,7500,152
2021,153,4000,153,10000,153
2015,154,60000,154,9000,154
2002,155,258000,155,4250,155
2017,156,43000,156,14300,156
1996,157,200000,157,2000,157
2017,158,86000,158,7900,158
2002,159,0,159,4500,159
2013,160,74000,160,6700,160
